node,label
0,3.0
1,5.0
2,6.0
3,10.0
4,17.0
5,20.0
6,7.0
7,23.0
8,30.0
9,31.0
10,33.0
11,34.0
12,35.0
13,36.0
14,7.0
15,10.0
16,50.0
17,6.0
18,52.0
19,56.0
20,38.0
21,47.0
22,58.0
23,59.0
24,61.0
25,29.0
26,63.0
27,7.0
28,69.0
29,6.0
30,60.0
31,10.0
32,25.0
33,62.0
34,76.0
35,77.0
36,0.0
37,86.0
38,24.0
39,102.0
40,8.0
41,38.0
42,10.0
43,38.0
44,51.0
45,23.0
46,109.0
47,9.0
48,111.0
49,37.0
50,52.0
51,38.0
52,9.0
53,61.0
54,63.0
55,46.0
56,7.0
57,46.0
58,64.0
59,6.0
60,7.0
61,10.0
62,50.0
63,46.0
64,147.0
65,7.0
66,46.0
67,8.0
68,10.0
69,46.0
70,9.0
71,61.0
72,45.0
73,43.0
74,37.0
75,53.0
76,7.0
77,164.0
78,122.0
79,46.0
80,70.0
81,131.0
82,58.0
83,37.0
84,7.0
85,46.0
86,37.0
87,37.0
88,46.0
89,9.0
90,60.0
91,131.0
92,34.0
93,5.0
94,7.0
95,46.0
96,10.0
97,7.0
98,46.0
99,24.0
100,50.0
101,50.0
102,3.0
103,109.0
104,3.0
105,175.0
106,3.0
107,70.0
108,175.0
109,175.0
110,3.0
111,3.0
112,70.0
113,3.0
114,3.0
115,64.0
116,186.0
117,175.0
118,3.0
119,186.0
120,3.0
121,3.0
122,165.0
123,175.0
124,3.0
125,2.0
126,10.0
127,175.0
128,3.0
129,3.0
130,175.0
131,175.0
132,3.0
133,3.0
134,3.0
135,3.0
136,186.0
137,175.0
138,202.0
139,202.0
140,177.0
141,3.0
142,3.0
143,201.0
144,3.0
145,3.0
146,2.0
147,175.0
148,2.0
149,204.0
150,205.0
151,10.0
152,3.0
153,3.0
154,3.0
155,3.0
156,3.0
157,39.0
158,66.0
159,46.0
160,8.0
161,6.0
162,109.0
163,5.0
164,26.0
165,10.0
166,46.0
167,46.0
168,61.0
169,6.0
170,46.0
171,6.0
172,45.0
173,6.0
174,144.0
175,7.0
176,46.0
177,9.0
178,46.0
179,9.0
180,50.0
181,51.0
182,37.0
183,46.0
184,9.0
185,46.0
186,86.0
187,9.0
188,26.0
189,82.0
190,24.0
191,53.0
192,9.0
193,109.0
194,46.0
195,40.0
196,6.0
197,46.0
198,8.0
199,211.0
200,46.0
201,42.0
202,10.0
203,42.0
204,46.0
205,37.0
206,53.0
207,228.0
208,24.0
209,39.0
210,24.0
211,230.0
212,137.0
213,8.0
214,53.0
215,45.0
216,10.0
217,37.0
218,172.0
219,46.0
220,37.0
221,238.0
222,241.0
223,33.0
224,33.0
225,9.0
226,23.0
227,64.0
228,53.0
229,10.0
230,53.0
231,46.0
232,34.0
233,50.0
234,66.0
235,164.0
236,34.0
237,82.0
238,24.0
239,50.0
240,77.0
241,37.0
242,7.0
243,34.0
244,34.0
245,50.0
246,34.0
247,61.0
248,194.0
249,42.0
250,34.0
251,82.0
252,60.0
253,10.0
254,130.0
255,194.0
256,251.0
257,71.0
258,92.0
259,71.0
260,164.0
261,7.0
262,173.0
263,10.0
264,71.0
265,76.0
266,45.0
267,262.0
268,263.0
269,10.0
270,164.0
271,71.0
272,37.0
273,46.0
274,46.0
275,270.0
276,10.0
277,253.0
278,10.0
279,71.0
280,37.0
281,77.0
282,10.0
283,164.0
284,55.0
285,37.0
286,216.0
287,10.0
288,234.0
289,164.0
290,71.0
291,10.0
292,37.0
293,38.0
294,38.0
295,73.0
296,26.0
297,86.0
298,7.0
299,171.0
300,281.0
301,171.0
302,131.0
303,69.0
304,69.0
305,37.0
306,69.0
307,10.0
308,109.0
309,224.0
310,44.0
311,10.0
312,64.0
313,46.0
314,69.0
315,10.0
316,86.0
317,217.0
318,131.0
319,69.0
320,86.0
321,10.0
322,69.0
323,9.0
324,87.0
325,289.0
326,46.0
327,10.0
328,13.0
329,46.0
330,86.0
331,171.0
332,130.0
333,55.0
334,86.0
335,281.0
336,69.0
337,170.0
338,7.0
339,46.0
340,262.0
341,43.0
342,288.0
343,79.0
344,20.0
345,29.0
346,69.0
347,69.0
348,163.0
349,89.0
350,69.0
351,281.0
352,46.0
353,7.0
354,163.0
355,129.0
356,304.0
357,69.0
358,94.0
359,306.0
360,69.0
361,0.0
362,69.0
363,307.0
364,281.0
365,65.0
366,165.0
367,311.0
368,24.0
369,73.0
370,318.0
371,73.0
372,320.0
373,241.0
374,184.0
375,1.0
376,82.0
377,154.0
378,205.0
379,159.0
380,64.0
381,70.0
382,327.0
383,324.0
384,10.0
385,10.0
386,178.0
387,147.0
388,73.0
389,335.0
390,327.0
391,1.0
392,64.0
393,159.0
394,70.0
395,64.0
396,44.0
397,332.0
398,73.0
399,73.0
400,64.0
401,159.0
402,64.0
403,206.0
404,327.0
405,241.0
406,174.0
407,68.0
408,5.0
409,46.0
410,10.0
411,46.0
412,46.0
413,46.0
414,10.0
415,37.0
416,46.0
417,10.0
418,46.0
419,46.0
420,55.0
421,53.0
422,37.0
423,46.0
424,42.0
425,70.0
426,42.0
427,345.0
428,7.0
429,46.0
430,159.0
431,10.0
432,347.0
433,37.0
434,127.0
435,7.0
436,43.0
437,61.0
438,51.0
439,42.0
440,347.0
441,37.0
442,46.0
443,42.0
444,255.0
445,46.0
446,38.0
447,42.0
448,46.0
449,23.0
450,10.0
451,53.0
452,43.0
453,6.0
454,39.0
455,109.0
456,352.0
457,10.0
458,164.0
459,8.0
460,46.0
461,46.0
462,46.0
463,109.0
464,58.0
465,10.0
466,71.0
467,44.0
468,183.0
469,10.0
470,317.0
471,45.0
472,70.0
473,45.0
474,10.0
475,356.0
476,24.0
477,255.0
478,45.0
479,10.0
480,60.0
481,365.0
482,169.0
483,37.0
484,50.0
485,5.0
486,6.0
487,42.0
488,63.0
489,366.0
490,245.0
491,168.0
492,366.0
493,45.0
494,16.0
495,15.0
496,17.0
497,247.0
498,17.0
499,17.0
500,235.0
501,245.0
502,245.0
503,17.0
504,15.0
505,366.0
506,15.0
507,15.0
508,366.0
509,366.0
510,245.0
511,17.0
512,245.0
513,17.0
514,15.0
515,15.0
516,245.0
517,15.0
518,366.0
519,245.0
520,15.0
521,366.0
522,15.0
523,17.0
524,18.0
525,245.0
526,17.0
527,15.0
528,17.0
529,15.0
530,15.0
531,245.0
532,17.0
533,47.0
534,15.0
535,245.0
536,168.0
537,10.0
538,47.0
539,235.0
540,15.0
541,245.0
542,15.0
543,366.0
544,15.0
545,245.0
546,15.0
547,17.0
548,366.0
549,67.0
550,10.0
551,366.0
552,245.0
553,16.0
554,245.0
555,17.0
556,15.0
557,15.0
558,245.0
559,15.0
560,245.0
561,366.0
562,247.0
563,235.0
564,17.0
565,245.0
566,15.0
567,15.0
568,366.0
569,366.0
570,245.0
571,17.0
572,10.0
573,15.0
574,168.0
575,10.0
576,15.0
577,245.0
578,245.0
579,393.0
580,245.0
581,245.0
582,245.0
583,15.0
584,17.0
585,65.0
586,366.0
587,384.0
588,15.0
589,280.0
590,45.0
591,10.0
592,15.0
593,366.0
594,235.0
595,45.0
596,15.0
597,245.0
598,15.0
599,245.0
600,381.0
601,245.0
602,245.0
603,235.0
604,235.0
605,245.0
606,235.0
607,17.0
608,245.0
609,245.0
610,17.0
611,366.0
612,403.0
613,15.0
614,375.0
615,17.0
616,17.0
617,245.0
618,235.0
619,17.0
620,15.0
621,45.0
622,15.0
623,366.0
624,245.0
625,235.0
626,17.0
627,17.0
628,15.0
629,245.0
630,15.0
631,151.0
632,15.0
633,168.0
634,15.0
635,280.0
636,245.0
637,366.0
638,17.0
639,65.0
640,245.0
641,15.0
642,367.0
643,235.0
644,369.0
645,168.0
646,245.0
647,245.0
648,389.0
649,15.0
650,15.0
651,245.0
652,245.0
653,17.0
654,10.0
655,15.0
656,10.0
657,15.0
658,10.0
659,47.0
660,366.0
661,17.0
662,15.0
663,15.0
664,65.0
665,15.0
666,245.0
667,247.0
668,17.0
669,245.0
670,235.0
671,366.0
672,235.0
673,405.0
674,17.0
675,10.0
676,15.0
677,245.0
678,245.0
679,368.0
680,15.0
681,366.0
682,17.0
683,17.0
684,366.0
685,17.0
686,168.0
687,15.0
688,387.0
689,15.0
690,15.0
691,15.0
692,15.0
693,17.0
694,15.0
695,17.0
696,366.0
697,235.0
698,168.0
699,18.0
700,15.0
701,366.0
702,17.0
703,245.0
704,245.0
705,17.0
706,235.0
707,15.0
708,366.0
709,17.0
710,15.0
711,245.0
712,248.0
713,9.0
714,9.0
715,61.0
716,23.0
717,43.0
718,23.0
719,10.0
720,24.0
721,24.0
722,46.0
723,46.0
724,108.0
725,10.0
726,43.0
727,134.0
728,6.0
729,6.0
730,42.0
731,83.0
732,7.0
733,46.0
734,126.0
735,171.0
736,342.0
737,126.0
738,281.0
739,37.0
740,26.0
741,122.0
742,45.0
743,37.0
744,136.0
745,136.0
746,423.0
747,9.0
748,240.0
749,83.0
750,144.0
751,130.0
752,425.0
753,144.0
754,426.0
755,423.0
756,24.0
757,10.0
758,46.0
759,86.0
760,327.0
761,45.0
762,71.0
763,42.0
764,43.0
765,38.0
766,53.0
767,8.0
768,74.0
769,7.0
